               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094743,            0.025937,            0.055873,             0.30919,             0.13053,            0.020928,            0.005541,            0.079811,            0.018059,            0.052718,              0.0802,              0.0022,              0.0022
                   1,            0.063799,            0.025447,            0.046913,             0.58846,             0.36137,             0.21418,            0.082185,            0.072921,            0.014277,            0.043497,            0.059436,           0.0044364,           0.0044364
                   2,            0.057076,            0.021814,            0.037662,             0.68135,             0.44918,             0.44203,             0.14821,            0.055159,            0.011052,            0.028531,            0.038608,           0.0066077,           0.0066077
                   3,             0.05184,             0.02046,            0.026018,             0.54494,             0.49207,             0.46554,             0.20356,            0.052517,            0.010462,            0.022832,            0.017714,           0.0087139,           0.0087139
                   4,            0.046606,            0.019355,            0.017004,             0.48561,             0.57243,             0.42236,             0.17373,            0.049729,            0.016172,            0.028797,           0.0094343,           0.0094343,           0.0094343
                   5,            0.041641,            0.018732,            0.014132,             0.79113,             0.47223,             0.54933,             0.20295,            0.052998,            0.010592,            0.031933,           0.0094343,           0.0094343,           0.0094343
                   6,            0.037262,            0.018016,            0.012342,             0.67735,             0.44347,             0.44786,             0.23589,            0.044807,            0.013051,             0.05818,           0.0092929,           0.0092929,           0.0092929
                   7,            0.035757,            0.018026,            0.011013,             0.83823,             0.70711,             0.71996,             0.30065,            0.044813,            0.010044,           0.0071493,           0.0091514,           0.0091514,           0.0091514
                   8,            0.035133,             0.01763,            0.010978,             0.78356,             0.52247,              0.5786,               0.211,            0.048203,            0.011954,            0.024591,             0.00901,             0.00901,             0.00901
                   9,            0.034407,            0.017344,            0.010218,             0.76033,             0.58761,             0.64914,             0.37759,             0.03636,           0.0092459,            0.025788,           0.0088686,           0.0088686,           0.0088686
                  10,            0.033118,             0.01712,            0.010982,             0.88996,             0.68951,             0.73743,             0.41003,            0.034575,           0.0089916,           0.0099583,           0.0087271,           0.0087271,           0.0087271
                  11,            0.031846,            0.016845,           0.0098455,             0.90216,             0.61102,             0.70532,             0.36948,            0.039272,            0.008829,            0.013736,           0.0085857,           0.0085857,           0.0085857
                  12,            0.032186,              0.0169,           0.0089907,             0.90665,             0.72749,             0.74178,             0.40044,            0.034859,           0.0082781,           0.0090937,           0.0084443,           0.0084443,           0.0084443
                  13,            0.031341,            0.016413,           0.0085711,              0.8562,             0.67015,             0.71951,              0.3608,            0.040172,           0.0091038,            0.013753,           0.0083029,           0.0083029,           0.0083029
                  14,            0.031037,            0.016356,           0.0081463,             0.73796,             0.70623,             0.72197,             0.37212,            0.037629,           0.0085669,           0.0066699,           0.0081614,           0.0081614,           0.0081614
                  15,            0.030912,            0.016638,           0.0082925,             0.76405,             0.72866,              0.7471,             0.39375,            0.035842,           0.0085474,           0.0090907,             0.00802,             0.00802,             0.00802
                  16,            0.029608,            0.016186,           0.0072872,             0.71605,             0.79343,             0.76812,             0.42561,            0.035214,           0.0087039,           0.0055927,           0.0078786,           0.0078786,           0.0078786
                  17,             0.03016,            0.016408,           0.0073419,             0.73901,             0.79301,             0.74973,             0.41925,            0.035128,           0.0082714,           0.0068852,           0.0077371,           0.0077371,           0.0077371
                  18,            0.028793,            0.015668,           0.0067501,             0.74754,             0.73661,             0.75675,             0.48952,            0.029419,           0.0083743,           0.0069353,           0.0075957,           0.0075957,           0.0075957
                  19,            0.028764,            0.015544,           0.0066485,             0.74665,             0.78665,             0.78429,             0.44196,            0.033511,           0.0084115,           0.0042565,           0.0074543,           0.0074543,           0.0074543
