               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085258,            0.029141,            0.063649,            0.046626,             0.22416,            0.055559,            0.019406,            0.054097,            0.014014,            0.055604,            0.070341,           0.0032955,           0.0032955
                   1,            0.059349,            0.025331,            0.052349,             0.43076,             0.31732,             0.19101,            0.076591,            0.048458,           0.0099692,            0.046846,            0.040275,           0.0065632,           0.0065632
                   2,            0.054964,            0.022734,            0.042607,             0.39778,             0.38802,             0.29453,             0.13375,            0.041976,           0.0090948,            0.036694,            0.010144,           0.0097649,           0.0097649
                   3,            0.048613,            0.020464,            0.033295,             0.56631,             0.38095,             0.36953,              0.1537,            0.045199,           0.0084367,            0.030722,            0.009703,            0.009703,            0.009703
                   4,            0.043394,            0.020939,            0.027136,             0.63479,             0.35155,             0.38015,              0.1884,            0.039828,           0.0088261,            0.042669,            0.009703,            0.009703,            0.009703
                   5,            0.040667,            0.019616,            0.023634,             0.69184,             0.51701,             0.54995,             0.28399,             0.03593,           0.0083481,            0.023843,            0.009604,            0.009604,            0.009604
                   6,            0.039413,            0.019375,            0.020689,             0.84708,             0.55336,             0.64119,             0.27995,            0.041915,           0.0085329,            0.017356,            0.009505,            0.009505,            0.009505
                   7,            0.037351,            0.019729,            0.018976,             0.88572,             0.63021,             0.68956,             0.34082,            0.038122,           0.0076959,            0.013765,            0.009406,            0.009406,            0.009406
                   8,            0.037042,            0.018973,            0.018041,             0.67637,             0.74971,             0.77584,             0.37637,            0.034705,           0.0075534,            0.013294,            0.009307,            0.009307,            0.009307
                   9,            0.036115,            0.018681,            0.016243,             0.72342,             0.66837,             0.64585,             0.31559,            0.037456,           0.0080259,            0.012284,            0.009208,            0.009208,            0.009208
                  10,             0.03499,            0.018491,            0.015881,             0.81054,             0.61009,             0.70632,             0.33187,            0.039865,            0.007984,            0.011835,            0.009109,            0.009109,            0.009109
                  11,            0.035353,            0.018428,             0.01553,             0.82723,             0.56396,              0.6726,             0.33713,            0.035908,           0.0085304,            0.018071,             0.00901,             0.00901,             0.00901
                  12,            0.033634,            0.018236,             0.01357,             0.84246,             0.68071,             0.73391,             0.38698,             0.03299,           0.0077215,            0.010644,            0.008911,            0.008911,            0.008911
                  13,            0.033401,            0.018228,            0.013187,             0.75485,             0.71396,             0.75316,             0.41001,            0.033146,           0.0078037,            0.010139,            0.008812,            0.008812,            0.008812
                  14,            0.033226,            0.017775,             0.01281,             0.87126,             0.69087,             0.75973,             0.40343,            0.035091,           0.0073334,           0.0093198,            0.008713,            0.008713,            0.008713
                  15,            0.032244,            0.017734,            0.011666,             0.76003,             0.70179,             0.72975,             0.35161,            0.035617,           0.0075806,           0.0079255,            0.008614,            0.008614,            0.008614
                  16,            0.032506,             0.01754,            0.011357,             0.82568,             0.67247,             0.72626,             0.37609,            0.035306,           0.0075908,            0.013316,            0.008515,            0.008515,            0.008515
                  17,            0.032093,            0.017391,            0.012239,             0.62274,             0.74351,             0.74544,             0.37575,            0.034948,            0.007846,            0.010205,            0.008416,            0.008416,            0.008416
                  18,             0.03211,            0.017677,            0.011113,             0.89351,             0.72815,             0.78488,             0.42156,            0.034716,           0.0074223,           0.0085318,            0.008317,            0.008317,            0.008317
